Tutorial Map;//name---------------------------------------
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  138.999023;//x
  964.944824;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  138.999023;//x
  1206.729736;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  515.111206;//x
  962.115479;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  515.111694;//x
  1209.556641;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  143.242188;//x
  1281.667603;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  141.828613;//x
  894.245483;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  140.414551;//x
  898.487671;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  131.649414;//x
  1280.963501;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  516.710327;//x
  1276.845093;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  518.769897;//x
  893.844727;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  17;//number
  402.778320;//x
  1078.895630;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  584.506836;//x
  894.009888;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  704.638306;//x
  894.009888;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  823.145874;//x
  894.009888;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  589.377441;//x
  1280.379272;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  709.509399;//x
  1280.379272;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  829.639526;//x
  1280.379272;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  900.551636;//x
  973.556274;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  898.928589;//x
  1207.326416;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  20;//number
  566.075195;//x
  1086.078857;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  964.788940;//x
  897.422363;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1088.744995;//x
  897.422363;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  966.698120;//x
  1281.570557;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1088.977905;//x
  1281.634644;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1225.185425;//x
  1278.982178;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1363.161011;//x
  1280.856689;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1484.874634;//x
  1280.856934;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1604.966919;//x
  1280.856934;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  1676.372192;//x
  904.355713;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  1677.995728;//x
  1280.857300;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  13;//number
  731.964478;//x
  1013.611328;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  516.525757;//x
  894.245361;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  513.698120;//x
  1276.012085;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1281.554565;//x
  902.494629;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  900.779175;//x
  896.690186;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  900.779175;//x
  1279.094360;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1298.226440;//x
  1275.025391;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  21;//number
  949.824585;//x
  1088.602051;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1483.252075;//x
  897.863281;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1747.957031;//x
  894.450439;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1871.434570;//x
  894.450439;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1991.785645;//x
  894.450439;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1877.686523;//x
  1278.948242;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2002.727295;//x
  1278.948242;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  12;//number
  1505.692993;//x
  1092.951294;//y
  0.021650;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  18;//number
  1646.363403;//x
  1167.975220;//y
  0.845979;//angle
  10;//amount
  0;//side
  1.000000;//size
  3;//type
  22;//number
  1391.594116;//x
  1090.606567;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2052.710693;//x
  969.474854;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2057.400146;//x
  1210.176758;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2055.318115;//x
  898.573242;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2061.589600;//x
  1287.423584;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  2;//number
  1853.278809;//x
  1175.348267;//y
  2.357925;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  2;//number
  1938.500977;//x
  987.356079;//y
  5.873242;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2137.344482;//x
  890.970581;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2259.195068;//x
  891.196045;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2383.887939;//x
  891.196045;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2136.923828;//x
  1281.013306;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2257.984619;//x
  1281.013550;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2380.256104;//x
  1279.802979;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2438.006348;//x
  889.985840;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2643.960693;//x
  888.775269;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2760.178711;//x
  888.775269;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2510.793213;//x
  1278.592529;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2634.275146;//x
  1278.592529;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2755.335938;//x
  1277.381958;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2522.900635;//x
  889.985962;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2054.272217;//x
  894.450317;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2057.399170;//x
  1283.637573;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2437.478027;//x
  888.544189;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2435.664551;//x
  1280.170166;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2834.542480;//x
  1273.825073;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  2834.542480;//x
  884.919189;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2438.006348;//x
  1278.592041;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2823.906250;//x
  963.276001;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2825.250000;//x
  1195.786133;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  23;//number
  2177.487305;//x
  1086.435791;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  9;//number
  2477.173340;//x
  1190.125854;//y
  0.978797;//angle
  3;//amount
  0;//side
  1.000000;//size
  3;//type
  14;//number
  2714.831055;//x
  977.688477;//y
  5.180390;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  14;//number
  2598.497314;//x
  1110.461548;//y
  2.022380;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  14;//number
  2712.301270;//x
  1202.770386;//y
  5.863742;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  18;//number
  1488.286255;//x
  995.019409;//y
  0.000000;//angle
  10;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2899.596680;//x
  888.204346;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3022.281738;//x
  888.204346;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3143.352539;//x
  888.204346;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3209.538574;//x
  962.460571;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3211.152832;//x
  1194.914795;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3140.125000;//x
  1269.171631;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3017.441406;//x
  1269.171631;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  2901.213867;//x
  1269.171631;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2827.974609;//x
  1272.539185;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  2826.764160;//x
  886.354248;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  3209.537598;//x
  889.819580;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  3209.537598;//x
  1262.715454;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  0;//number
  3138.508789;//x
  956.005249;//y
  3.926991;//angle
  1;//amount
  0;//side
  1.946410;//size
  5;//type
  0;//number
  3133.666016;//x
  1198.145752;//y
  5.497787;//angle
  1;//amount
  0;//side
  1.946410;//size
  3;//type
  24;//number
  2913.436523;//x
  1078.689087;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  7;//number
  3071.638184;//x
  1041.562134;//y
  5.497787;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  3;//number
  2978.012207;//x
  1043.175781;//y
  0.993130;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  6;//number
  3015.140625;//x
  1130.346191;//y
  1.623421;//angle
  1;//amount
  0;//side
  1.000000;//size
  4;//type
  0;//number
  299.027222;//x
  1079.224731;//y
  1.856569;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1208.791382;//x
  897.422363;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3262.053711;//x
  1017.119751;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3262.053711;//x
  1142.205078;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3377.366943;//x
  1017.119629;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3377.366943;//x
  1142.205078;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3496.589111;//x
  1017.119629;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  3492.680908;//x
  1142.205078;//y
  4.712389;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  3434.047607;//x
  1015.165405;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  3434.047607;//x
  1142.205322;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1361.536987;//x
  897.863281;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  31;//number
  3281.905518;//x
  1080.089233;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1282.830688;//x
  972.814758;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1282.830933;//x
  1205.759766;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  19;//number
  1232.704346;//x
  1087.812622;//y
  3.141593;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  35;//number
  300.260468;//x
  1080.917603;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  1;//number
  2411.495605;//x
  1081.927368;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  9;//number
  2384.167725;//x
  974.134949;//y
  1.735049;//angle
  3;//amount
  0;//side
  1.000000;//size
  3;//type
  9;//number
  2218.686035;//x
  978.689514;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  9;//number
  2208.058350;//x
  1200.347168;//y
  4.606402;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  9;//number
  2276.377686;//x
  1089.518188;//y
  2.689124;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  28;//number
  1606.589966;//x
  896.240479;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  3;//type
  2;//number
  1633.859985;//x
  990.574707;//y
  1.907297;//angle
  1;//amount
  0;//side
  0.954835;//size
  6;//type
  28;//number
  1754.917358;//x
  1279.202148;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1677.020752;//x
  898.213257;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1681.270264;//x
  1280.618164;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  end_objects;
climate training;//name---------------------------------------
  1;//identifier
  13;//width
  17;//height
  begin_map_grid;
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
    4.0,4.0,4.0,6.0,6.0,7.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0
    6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
    6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
    6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
    6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
    6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
    6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
    6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
    6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
  end_map_grid;
  begin_objects;
  6;//type
  29;//number
  271.431702;//x
  1012.120605;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  273.106506;//x
  1161.413208;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  365.823914;//x
  1203.200928;//y
  2.356194;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  371.048218;//x
  970.757080;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  452.469177;//x
  888.804932;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  449.844177;//x
  1282.489380;//y
  5.497787;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  541.704346;//x
  849.435425;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  551.687012;//x
  1319.232910;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  669.792358;//x
  1319.232910;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  660.237793;//x
  849.404480;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  774.912537;//x
  849.404480;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  893.634521;//x
  848.055359;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  788.403076;//x
  1317.547485;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  907.125732;//x
  1318.896484;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1004.263062;//x
  1278.424072;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1085.369263;//x
  1198.826050;//y
  0.785398;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  990.933044;//x
  888.529541;//y
  2.356194;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1070.530273;//x
  969.476440;//y
  2.356194;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1168.008057;//x
  1012.648071;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1169.358032;//x
  1159.701538;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1292.296631;//x
  1160.405884;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  331.578644;//x
  1009.784485;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  329.624176;//x
  1162.232300;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1117.270264;//x
  1164.187012;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  1115.315674;//x
  1011.739014;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  951.143127;//x
  847.564331;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  487.935669;//x
  851.473328;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  495.753540;//x
  1320.544312;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  30;//number
  957.006592;//x
  1316.635864;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  1117.463379;//x
  1011.798157;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  1121.079834;//x
  1163.678833;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  332.750000;//x
  1170.911255;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  5;//type
  1;//number
  329.133728;//x
  1008.181885;//y
  0.000000;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  1;//number
  545.378540;//x
  1223.939331;//y
  4.453704;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  1;//number
  694.905029;//x
  1231.003662;//y
  0.259625;//angle
  1;//amount
  0;//side
  0.709906;//size
  6;//type
  1;//number
  878.577454;//x
  1212.165527;//y
  2.212908;//angle
  1;//amount
  0;//side
  1.249745;//size
  2;//type
  16;//number
  553.251099;//x
  962.325623;//y
  1.721594;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  16;//number
  692.605652;//x
  1002.141235;//y
  6.251110;//angle
  1;//amount
  0;//side
  1.000000;//size
  2;//type
  16;//number
  908.273132;//x
  932.463562;//y
  1.629821;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1289.029663;//x
  1013.131897;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
  1405.480835;//x
  1012.875427;//y
  1.570796;//angle
  1;//amount
  0;//side
  1.000000;//size
  6;//type
  29;//number
